epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,13.4783,1.93528,4.3644,1.85455,0.32969,0.35354,0.25388,0.1246,1.67091,2.7949,1.5435,5.454e-05,5.454e-05,5.454e-05
2,19.8947,1.73174,2.68231,1.63699,0.60159,0.52772,0.37971,0.19615,1.61365,4.9331,1.31302,0.00011622,0.00011622,0.00011622
3,27.5593,1.63717,1.83362,1.45932,0.62408,0.69444,0.65498,0.35119,1.63682,2.29185,1.44278,0.000175801,0.000175801,0.000175801
4,31.7732,1.51858,1.42263,1.37764,0.72986,0.4404,0.57379,0.28544,1.59471,2.54955,1.449,0.000233281,0.000233281,0.000233281
5,37.7076,1.48348,1.33003,1.34479,0.60021,0.7056,0.68899,0.36513,1.67426,2.17563,1.50429,0.000288662,0.000288662,0.000288662
6,41.6437,1.47525,1.26742,1.32678,0.75365,0.56513,0.67914,0.35218,1.71663,1.9394,1.49928,0.000341943,0.000341943,0.000341943
7,45.2939,1.48765,1.23074,1.3537,0.76896,0.59051,0.58328,0.30017,1.73973,2.0583,1.5544,0.000393124,0.000393124,0.000393124
8,49.9151,1.45402,1.19894,1.34627,0.81123,0.57778,0.57241,0.2782,1.8415,1.96575,1.60822,0.000442206,0.000442206,0.000442206
9,53.4764,1.45113,1.20159,1.30648,0.7551,0.58306,0.62099,0.33048,1.77095,1.83158,1.49126,0.000489187,0.000489187,0.000489187
10,57.0212,1.50681,1.1046,1.34124,0.81017,0.61497,0.64236,0.32402,1.7787,1.64899,1.47786,0.000534069,0.000534069,0.000534069
11,60.7644,1.47375,1.2809,1.31593,0.81201,0.5464,0.60662,0.27814,1.93716,1.51553,1.65689,0.000576851,0.000576851,0.000576851
12,65.12,1.40372,1.09207,1.29231,0.41235,0.64802,0.49707,0.21535,1.7944,2.05249,1.52358,0.000617534,0.000617534,0.000617534
13,68.4376,1.35916,0.98365,1.2769,0.68781,0.41667,0.39829,0.19375,1.67898,2.31615,1.4723,0.000656116,0.000656116,0.000656116
14,72.0733,1.38433,1.00086,1.26839,0.73315,0.50902,0.51697,0.27893,1.62571,2.01739,1.42478,0.000692599,0.000692599,0.000692599
15,76.8804,1.42619,0.99608,1.30049,0.7406,0.52778,0.64378,0.34181,1.5972,1.69585,1.35239,0.000699021,0.000699021,0.000699021
